Merriam-Webster&#39;s Vocabulary Builder,Mary Wood Cornog,9.7,2784
李太白全集,[唐] 李白 著,9.6565,915
春秋左传注,杨伯峻,9.62285,1186
四书章句集注,[南宋] 朱熹 集注,9.62228,920
红楼梦,[清] 曹雪芹 著,9.60176,281891
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),9.6,13094
原动画基础教程,理查德·威廉姆斯,9.6,1647
A Storm of Swords,George R.R. Martin,9.6,810
发现社会,[美]兰德尔·柯林斯,9.6,688
目录学发微 古书通例,余嘉锡,9.6,599
隋唐制度渊源略论稿 唐代政治史述论稿,陈寅恪,9.59508,1281
冰与火之歌·卷三·冰雨的风暴,(美)乔治·R. R. 马丁,9.58532,8339
The Arrival,Shaun Tan,9.57394,875
金刚经,(后秦)鸠摩罗什,9.5,4478
抵岸,陳志勇,9.5,1819
Sherlock Holmes,Sir Arthur Conan Doyle,9.5,1303
Gone with the Wind,Margaret Mitchell,9.5,1119
世說新語箋疏,余嘉锡,9.5,885
1984 动物农场,乔治·奥威尔 (Orwell G.),9.5,842
A Clash of Kings,George R.R. Martin,9.5,728
社会与政治运动讲义,赵鼎新,9.5,623
罗念生全集：第二卷：埃斯库罗斯悲剧三种、索福克勒斯悲剧四种,,9.5,583
去斯万家那边,[法] 马塞尔·普鲁斯特 著,9.5,537
