Merriam-Webster&#39;s Vocabulary Builder,Mary Wood Cornog,9.7,2784
春秋左传注,杨伯峻,9.62285,1186
红楼梦,[清] 曹雪芹 著,9.60176,281891
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),9.6,13094
原动画基础教程,理查德·威廉姆斯,9.6,1647
隋唐制度渊源略论稿 唐代政治史述论稿,陈寅恪,9.59508,1281
冰与火之歌·卷三·冰雨的风暴,(美)乔治·R. R. 马丁,9.58532,8339
金刚经,(后秦)鸠摩罗什,9.5,4478
抵岸,陳志勇,9.5,1819
Sherlock Holmes,Sir Arthur Conan Doyle,9.5,1303
Gone with the Wind,Margaret Mitchell,9.5,1119
史记,司马迁,9.49241,22899
A Game of Thrones,George R.R. Martin,9.48843,2471
卡拉马佐夫兄弟,[俄]陀思妥耶夫斯基,9.46949,24034
冰与火之歌·卷二·列王的纷争,[美] 乔治·R. R. 马丁,9.45936,10324
跨越边界的社区,项飙,9.43503,1884
道德经,老子,9.42418,3585
Born a Crime,Trevor Noah,9.41317,1899
三体全集,刘慈欣,9.4,29285
道德经精义,黄元吉,9.4,12204
冰与火之歌·卷一·权力的游戏,[美]乔治·R.R.马丁,9.4,7049
20世紀少年01,浦沢直樹,9.4,5325
塔希里亚故事集,吴淼,9.4,4211
資治通鑑,[宋] 司馬光 編著,9.4,3683
博尔赫斯全集,[阿根廷] 豪·路·博尔赫斯,9.4,2047
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9.4,1738
秦汉魏晋史探微,田余庆,9.4,1288
乱世佳人,[美] 玛格丽特·米切尔,9.39543,11692
陶渊明集,逯钦立 校注,9.395,1600
孙子兵法,孙武,9.38951,9431
冰与火之歌·卷五·魔龙的狂舞,(美)乔治·R. R. 马丁,9.3889,10989
我们的祖先,[意大利] 伊塔洛·卡尔维诺,9.38728,4142
庄子,孙通海 译注,9.3772,10410
冰与火之歌,[美] 乔治·R. R. 马丁,9.37388,69000
往事与随想,[俄] 赫尔岑,9.34301,1374
东晋门阀政治,田余庆,9.33595,5964
诗经,孔丘 编订,9.3349,19795
唐诗鉴赏辞典,俞平伯,9.33386,4383
一九八四,[英] 乔治·奥威尔,9.33372,50215
A Dance with Dragons,George R. R. Martin,9.3324,1256
唐诗三百首,蘅塘退士,9.32691,15986
四世同堂,老舍,9.32534,14285
莎士比亚全集,[英]莎士比亚,9.32523,1320
1984,[英] 乔治·奥威尔,9.31962,161242
老子道德经注校释,[魏]王弼 注,9.31452,1136
白鹦鹉的森林,安房直子,9.31208,1821
遥远的野玫瑰村,安房直子,9.31177,2056
中国少年儿童百科全书,林崇德 主编,9.3083,16811
传习录,王守仁,9.30504,2224
