name,author,Avg,Num
望乡,[日] 凑佳苗,6.848484848484849,462
算计,[日] 米泽穗信,7.8,15
维正之供,周健,9.0,41
十一种孤独,[美] 理查德·耶茨,8.19289067739772,23856
夏先生的故事,[德] 帕特里克·聚斯金德,8.492790824685965,1831
新宋·9－12,阿越,8.5,70
血夏,[英] 丹·琼斯,9.1,13
张文宏教授支招防控新型冠状病毒,张文宏,8.9,81
年轻的心在哭泣,[美] 理查德·耶茨,8.28130311614731,1412
巴黎记,于坚,9.2,24
厄普代克短篇小说集,[美] 约翰·厄普代克,7.5,12
第三帝国的到来,[英] 理查德·J. 埃文斯,9.4,31
事实,[美] 菲利普·罗斯,8.6,20
工具，还是武器？,【美】布拉德·史密斯,8.6,23
雾行者,路内,8.0,1148
无处安放的同情,[德]汉宁·里德,8.8,301
小行星掉在下午,沈大成,8.1,602
民族的重建,[美]蒂莫西·斯奈德,9.3,129
去往猴面包树的旅程,[南非] 威尔玛·斯托肯斯特罗姆,8.3,276
我的不朽已然足够,[俄罗斯] 安德烈·塔可夫斯基,7.7,230
乌暗暝,黄锦树,8.7,259
饱食穷民,[日]斋藤茂男,8.2,299
马可瓦尔多,[意] 伊塔洛·卡尔维诺,9.1,256
黑暗时代的爱,[爱尔兰] 科尔姆·托宾,7.8,117
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗,9.0,28703
当动物有钱了,,6.8,33
局外人,[法] 阿尔贝·加缪,8.983112058662016,154785
新华字典,中国社会科学院语言研究所,8.7,174
人生海海,麦家,8.1,22977
即兴演讲,[加]朱迪思·汉弗莱,7.0,726
小熊和最好的爸爸,阿兰德·丹姆 文,8.0,547
神奇校车 桥梁书版,乔安娜柯尔　著,9.4,331
人间失格,太宰治,8.28630095505429,208051
月亮与六便士,[英] 威廉·萨默塞特·毛姆,8.80585808014283,160189
一看就会的思维导图启蒙绘本,歪歪兔关键期早教 项目组编绘,8.7,12
乌合之众,[法] 古斯塔夫.勒庞,8.1,1172
正面管教,简·尼尔森 (Jane Nelsen),8.689421112372303,4405
你想活出怎样的人生,[日]吉野源三郎 著,8.7,4170
悉达多,[德] 赫尔曼·黑塞,9.060015064152513,38502
基督山伯爵,大仲马,9.03535891909814,120640
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,9.036219873379887,36803
失踪的孩子,[意] 埃莱娜·费兰特,9.100056483213894,28327
诗经,孔丘 编订,9.33490275322051,19795
阿勒泰的角落,李娟,9.028827603264903,16172
离开的，留下的,[意] 埃莱娜·费兰特,8.7,27218
许三观卖血记,余华,8.79322693385345,202006
树上的男爵,[意大利]伊塔洛·卡尔维诺,9.10050042114651,20183
新名字的故事,[意] 埃莱娜·费兰特,9.000174635514513,37793
书店日记,[英] 肖恩·白塞尔,8.3,2619
呼吸,[美] 特德·姜,8.6,8507
房思琪的初恋乐园,林奕含,9.2,146729
1984,[英] 乔治·奥威尔,9.319618337653964,161242
解忧杂货店,[日] 东野圭吾,8.5,608911
萨拉戈萨手稿,[波兰] 扬·波托茨基,8.4,970
Educated,Tara Westover,8.911608133086876,2705
垃圾場長大的自學人生,泰拉．維斯托,8.0,13
秘密会议,[英] 罗伯特·哈里斯,7.3,70
漫步神保町,[日]鹿岛茂,8.0,12
萨基短篇小说选,[英] 萨基,7.6535087719298245,114
与神作战,[英]蒂姆·惠特马什,8.8,43
茶在中国,[加]贝剑铭 (James A.Benn),8.3,52
诸葛武侯,内藤湖南,6.4,51
烧钱,[美]柏桦,7.4,131
马上治天下,[美] 安熙龙 (Robert B.Oxnam),7.3,23
刀锋,毛姆,8.95485693233452,65144
地下室手记,[俄]陀思妥耶夫斯基,9.16685606060606,5280
罗生门,芥川龙之介,8.714905690221046,50578
看不见的城市,[意大利] 伊塔洛·卡尔维诺,8.86470612480422,48524
鼠疫,[法] 阿尔贝·加缪,8.866665764766362,36959
T. S. 艾略特传,[英] 林德尔·戈登,9.1,575
雪国,[日] 川端康成,8.113483146067415,55091
大萝卜和难挑的鳄梨,(日)村上春树,8.1,11379
查拉图斯特拉如是说,(德) 尼采,8.799173818026757,18761
异乡人,(法) 加缪,9.0,16182
The Stranger,Albert Camus,9.0,783
动物帝国,[法] 恩基·比拉,9.0,231
生活研究,[美] 罗伯特·洛威尔,8.2,182
雕刻时光,[苏] 安德烈·塔可夫斯基,9.26687376074025,7565
陆上行舟,[德] 维尔纳·赫尔佐格,9.5,230
中国文学中的孤独感,斯波六郎,7.9,85
为胜利而战,押井守,8.1,110
电影与新心理学,[法]莫里斯·梅洛-庞蒂,8.3,63
阳台故事集,赫尔曼·麦尔维尔,8.4,200
论爱与死亡,[德]帕·聚斯金德,8.5,52
时光碎片,[爱尔兰] 约翰·班维尔,7.7,50
出走的人,[爱尔兰]科尔姆·托宾,8.5,54
威廉·福克纳短篇小说集,[美] 威廉·福克纳,9.9,46
辛格自选集,[美] 艾萨克·巴什维斯·辛格,9.1,71
我们的时代,[美]欧内斯特·海明威,7.1,41
如果在冬夜，一个旅人,[意大利] 伊塔洛·卡尔维诺,8.773819804260219,13896
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯,8.957067704771424,19009
帕洛马尔,[意大利] 伊塔洛•卡尔维诺,8.665444637106761,4037
沙之书,[阿根廷] 豪·路·博尔赫斯,9.0,5027
宇宙奇趣全集,[意大利] 伊塔洛•卡尔维诺,8.8,4855
杜撰集,[阿根廷] 豪·路·博尔赫斯,9.105189504373177,3430
阿莱夫,[阿根廷] 豪·路·博尔赫斯,9.25881108525492,4727
命运交叉的城堡,[意大利] 伊塔洛•卡尔维诺,7.706124093473005,3723
博尔赫斯谈话录,[阿] 豪尔赫·路易斯·博尔赫斯 著,8.8,3512
Invisible Cities,Italo Calvino,9.270392156862744,510
看不見的城市,伊塔羅．卡爾維諾,9.0,691
隐形的城市,[意] 卡尔维诺,8.9,246
空气的颜色,[法] 恩基·比拉,8.1,57
末世恋人,[法] 恩基·比拉,8.0,166
卢浮地宫,[法]马克-安托万·马修,8.8,156
地球上最孤单的动物,[英] 米莉·玛洛塔,9.0,285
3秒,[法] 马克-安托万·马修,8.9,3273
世界杂货店,[美]罗伯特·谢克里,9.3,399
幻兽动物园,[英] 利奥·鲁伊克比,8.4,97
伊甸园世界01：星之上,墨比斯,9.1,282
云游,[波兰] 奥尔加·托卡尔丘克,8.9,798
泽诺的意识,[意]伊塔洛·斯韦沃,8.138005390835577,371
落失男孩,[美]托马斯·沃尔夫,9.0,37
一场游戏一次消遣,[美]詹姆斯·索特,8.6,274
梦的宇宙志,[日]涩泽龙彦,8.9,123
神秘博士：美丽的混沌,[英] 加里·拉塞尔,8.4,164
自指引擎,[日]圆城塔,8.3,447
在其他的世界,[加拿大] 玛格丽特·阿特伍德,8.8,86
克莱因壶,[日]冈岛二人,8.9,3236
饭局的起源,[英]马丁•琼斯,7.9,46
